Time_Index,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
1,0,0.65400058,0,0.651881099
2,0,0.640632212,0,0.662853241
3,0,0.674216628,0,0.688196063
4,0,0.591154337,0,0.530139506
5,0,0.498415291,0,0.557922244
6,0,0.539107561,0,0.685596406
7,0,0.597886682,0,0.675387621
8,0,0.524519503,0,0.555113554
9,0.2175,0.714665174,0.2258,0.545945764
10,0.4081,0.201284081,0.4428,0.233014196
11,0.5613,0.012974607,0.5538,0.115340397
12,0.5322,0.034633961,0.6097,0.066541314
13,0.5679,0.082750432,0.6059,0.047794882
14,0.5247,0.036179084,0.5139,0.032758825
15,0.4229,0.006105063,0.4232,0.059398096
16,0.3114,0.173815444,0.363,0.144726574
17,0.109,0.260041893,0.1806,0.365451872
18,0,0.468751878,0,0.650975525
19,0,0.784515142,0,0.780547857
20,0,0.355991662,0,0.814909935
21,0,0.604112744,0,0.783736229
22,0,0.527206779,0,0.812947273
23,0,0.685887396,0,0.777409554
24,0,0.618583739,0,0.804257452
25,0,0.674788058,0,0.832141697
26,0,0.91023761,0,0.825002253
27,0,0.839853764,0,0.878274798
28,0,0.8865906,0,0.925702214
29,0,0.94504863,0,0.900026917
30,0,0.863669157,0,0.867172003
31,0,0.646323919,0,0.851862907
32,0,0.25566262,0,0.962050557
33,0.109,0.324984014,0.1325,0.968221545
34,0.3235,0.710196197,0.3044,0.936753988
35,0.3563,0.438852191,0.3022,0.894410849
36,0.3784,0.312287986,0.4041,0.729316831
37,0.3346,0.569212019,0.2614,0.705880165
38,0.2609,0.766024351,0.2753,0.748093069
39,0.2381,0.711729348,0.1934,0.817127466
40,0.1307,0.659122467,0.2166,0.8403548
41,0.0266,0.482714176,0.0182,0.906592369
42,0,0.74608326,0,0.94518286
43,0,0.817704558,0,0.897846878
44,0,0.881676972,0,0.937956572
45,0,0.923290074,0,0.908633113
46,0,0.881124794,0,0.971499681
47,0,0.837216139,0,0.997881591
48,0,0.935307026,0,0.981252551
49,0,0.95678848,0,0.874063134
50,0,0.960784912,0,0.785421908
51,0,0.964077592,0,0.838933825
52,0,0.821918488,0,0.836373806
53,0,0.535242558,0,0.798461854
54,0,0.421804518,0,0.835002184
55,0,0.44402492,0,0.936725378
56,0,0.506769657,0,0.92959249
57,0.1008,0.716469467,0.1563,0.786107421
58,0.3571,0.479748398,0.4284,0.73866868
59,0.5425,0.77202934,0.5777,0.717252851
60,0.6327,0.629349351,0.6501,0.634071887
61,0.6563,0.735723257,0.6632,0.717576087
62,0.6462,0.502739787,0.6461,0.680005491
63,0.5642,0.707346141,0.5617,0.761096835
64,0.3954,0.32747677,0.3732,0.737764895
65,0.1551,0.927522063,0.1768,0.7636289
66,0,0.636502683,0,0.771935344
67,0,0.664787829,0,0.867450655
68,0,0.515376031,0,0.923220873
69,0,0.439054638,0,0.93512392
70,0,0.750679374,0,0.801682234
71,0,0.814183295,0,0.73993969
72,0,0.872650862,0,0.863863051
